Invoice/Item Number,Date,Store Name,Zip Code,Vendor Name,Item Number,Bottles Sold,Sale,Volume Sold
INV-41557900039,2021-11-05,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,HEAVEN HILL BRANDS,27453,2,19.14,0.1
INV-41521200113,2021-11-04,HY-VEE #4 / WDM,50265,DIAGEO AMERICAS,69946,4,78.0,3.0
INV-41514500053,2021-11-04,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,DIAGEO AMERICAS,10802,12,298.68,9.0
INV-41555100017,2021-11-05,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,BROWN FORMAN CORP.,22207,6,357.84,10.5
INV-42359400014,2021-11-29,HY-VEE FOOD STORE #1 / MASON CITY,50401,LUXCO INC,84456,4,30.0,3.0
INV-41510500088,2021-11-04,HY-VEE #3 / BDI / DES MOINES,50320,ole smoky distillery llc,86987,,90.0,4.5
INV-42452800151,2021-12-03,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,SAZERAC COMPANY  INC,38088,6,84.96,10.5
INV-42417700102,2021-12-02,HY-VEE FOOD STORE / CORALVILLE,52241,STOLI GROUP,34748,6,179.94,10.5
INV-41858700026,2021-11-13,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,WESTERN SPIRITS BEVERAGE,27697,6,90.0,4.5
INV-41891100002,2021-11-14,HY-VEE FOOD STORE #1 / MASON CITY,50401,SAZERAC COMPANY  INC,45217,96,566.4,96.0
INV-41802700023,2021-11-12,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,PERNOD RICARD USA,15644,,31.95,1.12
INV-41609800073,2021-11-06,HY-VEE FOOD STORE / CORALVILLE,52241,DIAGEO AMERICAS,43337,12,211.56,12.0
INV-41613200015,2021-11-06,HY-VEE #7 / CEDAR RAPIDS,52411,jdso inc / red boot distillery,36875,6,65.52,10.5
INV-42417700113,2021-12-02,HY-VEE FOOD STORE / CORALVILLE,52241,PHILLIPS BEVERAGE,31718,6,72.0,10.5
INV-42417700028,2021-12-02,HY-VEE FOOD STORE / CORALVILLE,52241,SAZERAC COMPANY  INC,16466,1,30.0,0.75
INV-41878700093,2021-11-14,HY-VEE #3 / BDI / DES MOINES,50320,sazerac company  inc,64816,12,244.32,9.0
INV-42417900051,2021-12-02,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,WESTERN SPIRITS BEVERAGE,101172,12,180.36,10.2
INV-41772200093,2021-11-12,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,DIAGEO AMERICAS,17088,12,495.0,21.0
INV-41609800072,2021-11-06,HY-VEE FOOD STORE / CORALVILLE,52241,E & J GALLO WINERY,52595,12,117.0,9.0
INV-41865300055,2021-11-13,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,LUXCO INC,63522,30,180.0,24.0
INV-41650100119,2021-11-07,HY-VEE FOOD STORE / CEDAR FALLS,50613,heaven hill brands,40053,5,63.75,3.75
INV-41890100001,2021-11-14,HY-VEE FOOD STORE #1 / MASON CITY,50401,PERNOD RICARD USA,15626,360,8906.4,270.0
INV-41890600002,2021-11-14,HY-VEE FOOD STORE #1 / MASON CITY,50401,JIM BEAM BRANDS,16685,6,225.0,4.5
INV-41609800065,2021-11-06,HY-VEE FOOD STORE / CORALVILLE,52241,SAZERAC COMPANY  INC,86390,12,38.4,12.0
INV-41890700054,2021-11-14,HY-VEE FOOD STORE #1 / MASON CITY,50401,LUXCO INC,54448,12,203.28,21.0
INV-41878700062,2021-11-14,HY-VEE #3 / BDI / DES MOINES,50320,diageo americas,43328,12,148.68,9.0
INV-41890800013,2021-11-14,HY-VEE FOOD STORE #1 / MASON CITY,50401,SAZERAC COMPANY  INC,69631,3,22.5,0.15
INV-41655500071,2021-11-07,HY-VEE FOOD STORE #1 / MASON CITY,50401,HEAVEN HILL BRANDS,41840,1,6.75,0.75
INV-41636600033,2021-11-07,HY-VEE #3 / BDI / DES MOINES,50320,proximo,28246,2,35.1,1.5
INV-41858700074,2021-11-13,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,LUXCO INC,36308,6,64.56,10.5
INV-41618800138,2021-11-06,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,PRESTIGE WINE & SPIRITS GROUP / UNITED STATES DISTILLED PRODUCTS CO,75212,3,21.78,0.15
INV-42028500030,2021-11-19,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,FIFTH GENERATION INC,38176,240,3600.0,180.0
INV-41880900107,2021-11-14,HY-VEE FOOD STORE / CEDAR FALLS,50613,jim beam brands,63311,,39.0,1.5
INV-41650100049,2021-11-07,HY-VEE FOOD STORE / CEDAR FALLS,50613,dunkel corporation / iowa distilling,27629,3,40.92,2.25
INV-41604200039,2021-11-06,HY-VEE #4 / WDM,50265,MOET HENNESSY USA,34155,6,134.94,4.5
INV-41650100032,2021-11-07,HY-VEE FOOD STORE / CEDAR FALLS,50613,luxco inc,21206,4,51.0,3.0
INV-41858700063,2021-11-13,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,HEAVEN HILL BRANDS,43986,6,103.98,10.5
INV-41636600020,2021-11-07,HY-VEE #3 / BDI / DES MOINES,50320,brown forman corp.,22215,144,4858.56,108.0
INV-41521200106,2021-11-04,HY-VEE #4 / WDM,50265,CAMPARI AMERICA,22121,6,102.6,4.5
INV-42022800078,2021-11-19,HY-VEE #4 / WDM,50265,BROWN FORMAN CORP.,27130,,202.44,4.5
INV-41655500023,2021-11-07,HY-VEE FOOD STORE #1 / MASON CITY,50401,PHILLIPS BEVERAGE,14487,1,13.53,0.75
INV-41604200013,2021-11-06,HY-VEE #4 / WDM,50265,SAZERAC COMPANY  INC,100423,24,216.0,2.4
INV-41978300004,2021-11-18,HY-VEE #3 / BDI / DES MOINES,50320,sazerac company  inc,27100,6,152.46,4.5
INV-42028600062,2021-11-19,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,DIAGEO AMERICAS,28866,,243.0,9.0
INV-41650100132,2021-11-07,HY-VEE FOOD STORE / CEDAR FALLS,50613,heaven hill brands,41840,2,13.5,1.5
INV-41980500176,2021-11-18,HY-VEE #7 / CEDAR RAPIDS,52411,diageo americas,66226,3,56.22,2.25
INV-41655100001,2021-11-07,HY-VEE FOOD STORE #1 / MASON CITY,50401,PERNOD RICARD USA,100719,30,104.1,1.5
INV-41755400006,2021-11-11,HY-VEE #3 / BDI / DES MOINES,50320,prestige wine & spirits group / united states distilled products co,15248,6,85.5,10.5
INV-41755400015,2021-11-11,HY-VEE #3 / BDI / DES MOINES,50320,jim beam brands,19067,36,702.0,36.0
INV-41755400066,2021-11-11,HY-VEE #3 / BDI / DES MOINES,50320,luxco inc,46351,12,70.8,12.0
INV-42022800092,2021-11-19,HY-VEE #4 / WDM,50265,OLE SMOKY DISTILLERY LLC,86785,6,112.5,4.5
INV-41609800083,2021-11-06,HY-VEE FOOD STORE / CORALVILLE,52241,DIAGEO AMERICAS,11297,24,698.16,24.0
INV-41890700048,2021-11-14,HY-VEE FOOD STORE #1 / MASON CITY,50401,LUXCO INC,36308,6,64.56,10.5
INV-41980500123,2021-11-18,HY-VEE #7 / CEDAR RAPIDS,52411,e & j gallo winery,39918,3,33.75,2.25
INV-41609800029,2021-11-06,HY-VEE FOOD STORE / CORALVILLE,52241,BROWN FORMAN CORP.,74782,12,186.12,9.0
INV-41976900060,2021-11-18,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,DIAGEO AMERICAS,43244,12,188.88,9.0
INV-41980500166,2021-11-18,HY-VEE #7 / CEDAR RAPIDS,52411,jim beam brands,63297,24,134.4,4.8
INV-42028300001,2021-11-19,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,CAMPARI AMERICA,916890,1,37.5,0.37
INV-41980500031,2021-11-18,HY-VEE #7 / CEDAR RAPIDS,52411,jim beam brands,16580,1,45.0,0.75
INV-41980500130,2021-11-18,HY-VEE #7 / CEDAR RAPIDS,52411,phillips beverage,41989,3,31.5,2.25
INV-41976900003,2021-11-18,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,WILLIAM GRANT & SONS INC,64876,12,414.0,9.0
INV-41722300039,2021-11-11,HY-VEE FOOD STORE / CORALVILLE,52241,SAZERAC COMPANY  INC,64601,6,101.28,4.5
INV-41980400001,2021-11-18,HY-VEE #7 / CEDAR RAPIDS,52411,diageo americas,68036,96,2375.04,72.0
INV-41636600061,2021-11-07,HY-VEE #3 / BDI / DES MOINES,50320,campari america,37987,12,174.12,12.0
INV-41650100107,2021-11-07,HY-VEE FOOD STORE / CEDAR FALLS,50613,infinium spirits,37888,3,45.0,5.25
INV-41980500016,2021-11-18,HY-VEE #7 / CEDAR RAPIDS,52411,diageo americas,11298,6,296.94,10.5
INV-41737800004,2021-11-11,HY-VEE #4 / WDM,50265,SAZERAC COMPANY  INC,16850,6,258.78,4.5
INV-41976900105,2021-11-18,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,SAZERAC COMPANY  INC,12478,6,94.08,10.5
INV-42028600080,2021-11-19,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,JDSO INC / RED BOOT DISTILLERY,36875,6,65.52,10.5
INV-41980500132,2021-11-18,HY-VEE #7 / CEDAR RAPIDS,52411,diageo americas,42777,6,202.5,4.5
INV-42078800006,2021-11-20,HY-VEE #4 / WDM,50265,JIM BEAM BRANDS,86103,12,42.0,12.0
INV-42088600018,2021-11-20,HY-VEE FOOD STORE / CORALVILLE,52241,DIAGEO AMERICAS,43285,12,163.08,9.0
INV-42093800001,2021-11-20,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,SAZERAC COMPANY  INC,36900,240,2491.2,420.0
