Invoice/Item Number,Date,Store Name,Zip Code,Vendor Name,Item Number,Bottles Sold,Sale,Volume Sold (Liters)
INV-48606600014,2022-06-23,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,SAZERAC COMPANY  INC,12860,12,117.0,9.0
INV-48603500161,2022-06-23,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,MHW LTD,67158,1,81.27,1.8
INV-48630000111,2022-06-23,HY-VEE FOOD STORE #1 / MASON CITY,50401,CAMPARI AMERICA,37988,2,45.0,3.5
INV-48606000121,2022-06-23,HY-VEE #3 / BDI / DES MOINES,50320,luxco inc,82147,24,180.0,24.0
INV-48630000075,2022-06-23,HY-VEE FOOD STORE #1 / MASON CITY,50401,DIAGEO AMERICAS,43244,1,15.74,0.75
INV-48630000087,2022-06-23,HY-VEE FOOD STORE #1 / MASON CITY,50401,BACARDI USA INC,43051,3,37.17,2.25
INV-48606600036,2022-06-23,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,BACARDI USA INC,28236,12,252.0,9.0
INV-48603500172,2022-06-23,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,SALOON SPIRITS LLC,86493,,129.06,4.5
INV-48692400009,2022-06-27,HY-VEE #7 / CEDAR RAPIDS,52411,sazerac company  inc,64868,6,138.0,10.5
INV-48630000039,2022-06-23,HY-VEE FOOD STORE #1 / MASON CITY,50401,DIAGEO AMERICAS,5318,1,36.08,0.75
INV-48606000096,2022-06-23,HY-VEE #3 / BDI / DES MOINES,50320,pernod ricard usa,67527,12,287.88,12.0
INV-48690400064,2022-06-27,HY-VEE #4 / WDM,50265,E & J GALLO WINERY,36971,6,126.0,10.5
INV-48703600018,2022-06-27,HY-VEE FOOD STORE / CORALVILLE,52241,PROXIMO,89193,5,26.25,1.0
INV-48614900193,2022-06-23,HY-VEE FOOD STORE / CEDAR FALLS,50613,proximo,88922,,44.64,0.75
INV-48703600091,2022-06-27,HY-VEE FOOD STORE / CORALVILLE,52241,FIFTH GENERATION INC,38177,120,2371.2,120.0
INV-48692500060,2022-06-27,HY-VEE #7 / CEDAR RAPIDS,52411,diageo americas,43352,3,37.17,2.25
INV-48606600063,2022-06-23,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,DIAGEO AMERICAS,37994,2,14.26,0.75
INV-48692500020,2022-06-27,HY-VEE #7 / CEDAR RAPIDS,52411,infinium spirits,27102,6,162.84,4.5
INV-48606000119,2022-06-23,HY-VEE #3 / BDI / DES MOINES,50320,diageo americas,77843,24,333.12,24.0
INV-48603500001,2022-06-23,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,BACARDI USA INC,43127,12,171.0,12.0
INV-48606000137,2022-06-23,HY-VEE #3 / BDI / DES MOINES,50320,jim beam brands,88556,12,189.0,9.0
INV-48630000123,2022-06-23,HY-VEE FOOD STORE #1 / MASON CITY,50401,SAZERAC COMPANY  INC,57181,2,19.5,3.5
INV-48692500096,2022-06-27,HY-VEE #7 / CEDAR RAPIDS,52411,american spirits exchange,76843,6,67.5,4.5
INV-48606000086,2022-06-23,HY-VEE #3 / BDI / DES MOINES,50320,sazerac company  inc,59037,12,78.48,12.0
INV-48614900197,2022-06-23,HY-VEE FOOD STORE / CEDAR FALLS,50613,brown forman corp.,89274,2,44.68,1.5
INV-48630000028,2022-06-23,HY-VEE FOOD STORE #1 / MASON CITY,50401,LUXCO INC,81208,1,11.25,1.75
INV-48603500055,2022-06-23,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,LUXCO INC,45278,6,67.5,10.5
INV-48593700056,2022-06-22,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,FIFTH GENERATION INC,38178,60,1710.0,105.0
